,accuracy
0,1.5625
1,42.1875
2,12.5
3,4.6875
4,17.1875
5,21.875
6,7.8125
7,29.6875
8,9.375
9,43.75
10,26.5625
11,14.0625
12,31.25
13,31.25
14,23.4375
15,21.875
16,26.5625
17,0
18,1.5625
19,10.9375
20,29.6875
21,18.75
22,7.8125
23,51.5625
24,45.3125
25,14.0625
26,1.5625
27,3.125
28,23.4375
29,20.3125
30,35.9375
31,4.6875
32,20.3125
33,1.5625
34,12.5
35,9.375
36,4.6875
37,7.8125
38,18.75
39,3.125
40,12.5
41,14.0625
42,21.875
43,1.5625
44,0
45,0
46,3.125
47,4.6875
48,26.5625
49,20.3125
50,3.125
51,15.625
52,1.5625
53,1.5625
54,10.9375
55,18.75
56,17.1875
57,7.8125
58,12.5
59,3.125
60,1.5625
61,32.8125
62,20.3125
63,35.9375
64,20.3125
65,10.9375
66,20.3125
67,4.6875
68,10.9375
69,20.3125
70,20.3125
71,14.0625
72,9.375
73,9.375
74,4.6875
75,10.9375
76,6.25
77,9.375
78,14.0625
79,18.75
80,26.5625
81,7.8125
82,7.8125
83,25
84,15.625
85,28.125
86,4.6875
87,0
88,1.5625
89,25
90,15.625
91,20.3125
92,4.6875
93,35.9375
94,1.5625
95,23.4375
96,18.75
97,29.6875
98,25
99,7.8125
100,18.75
101,46.875
102,59.375
103,31.25
104,18.75
105,15.625
106,0
107,10.9375
108,3.125
109,4.6875
110,6.25
111,31.25
112,23.4375
113,6.25
114,51.5625
115,4.6875
116,7.8125
117,12.5
118,25
119,1.5625
120,17.1875
121,43.75
122,1.5625
123,31.25
124,10.9375
125,23.4375
126,4.6875
127,4.6875
128,9.375
129,14.0625
130,9.375
131,40.625
132,28.125
133,35.9375
134,17.1875
135,10.9375
136,14.0625
137,21.875
138,35.9375
139,32.8125
140,57.8125
141,23.4375
142,20.3125
143,15.625
144,1.5625
145,7.8125
146,4.6875
147,0
148,0
149,4.6875
150,3.125
151,3.125
152,28.125
153,18.75
154,3.125
155,21.875
156,26.5625
157,20.3125
158,17.1875
159,0
160,0
161,3.125
162,9.375
163,18.75
164,4.6875
165,1.5625
166,4.6875
167,35.9375
168,23.4375
169,23.4375
170,9.375
171,46.875
172,53.125
173,51.5625
174,54.6875
175,50
176,53.125
177,40.625
178,67.1875
179,0
180,21.875
181,9.375
182,6.25
183,28.125
184,15.625
185,26.5625
186,0
187,1.5625
188,4.6875
189,10.9375
190,23.4375
191,9.375
192,20.3125
193,9.375
194,18.75
195,1.5625
196,14.0625
197,28.125
198,67.1875
199,14.0625
200,10.9375
201,34.375
202,18.75
203,10.9375
204,3.125
205,6.25
206,0
207,17.1875
208,25
209,17.1875
210,29.6875
211,4.6875
212,26.5625
213,9.375
214,9.375
215,4.6875
216,25
217,17.1875
218,10.9375
219,4.6875
220,29.6875
221,25
222,4.6875
223,28.125
224,21.875
225,4.6875
226,10.9375
227,31.25
228,18.75
229,1.5625
230,6.25
231,20.3125
232,18.75
233,26.5625
234,21.875
235,7.8125
236,1.5625
237,53.125
238,35.9375
239,4.6875
240,21.875
241,21.875
242,35.9375
243,10.9375
244,3.125
245,46.875
246,21.875
247,21.875
248,6.25
249,6.25
250,26.5625
251,14.0625
252,7.8125
253,20.3125
254,7.8125
255,1.5625
256,3.125
257,21.875
258,1.5625
259,29.6875
260,6.25
261,1.5625
262,1.5625
263,31.25
264,20.3125
265,0
